10歳未満,10代,20代,30代,40代,50代,60代,70代,80代,90代,100歳以上,10歳未満,10代,20代,30代,40代,50代,60代,70代,80代,90代,100歳以上
1320,1030,1691,1482,1255,704,289,185,93,47,4,1320,2350,4041,5523,6778,7482,7771,7956,8049,8096,8100
1352,1024,1576,1480,1267,723,285,178,89,46,5,1352,2376,3952,5432,6699,7422,7707,7885,7974,8020,8025
776,615,885,828,735,401,148,104,47,20,3,776,1391,2276,3104,3839,4240,4388,4492,4539,4559,4562
1212,882,1313,1275,1111,588,235,173,97,31,3,1212,2094,3407,4682,5793,6381,6616,6789,6886,6917,6920
1423,1045,1576,1554,1262,712,297,220,119,42,3,1423,2468,4044,5598,6860,7572,7869,8089,8208,8250,8253
1370,1107,1689,1645,1324,721,296,201,130,50,7,1370,2477,4166,5811,7135,7856,8152,8353,8483,8533,8540
1015,826,1364,1334,1113,603,232,143,94,41,2,1015,1841,3205,4539,5652,6255,6487,6630,6724,6765,6767
1098,804,1397,1286,1095,557,235,174,99,50,1,1098,1902,3299,4585,5680,6237,6472,6646,6745,6795,6796
867,732,937,981,846,437,199,127,68,24,2,867,1599,2536,3517,4363,4800,4999,5126,5194,5218,5220
543,472,694,641,561,316,116,60,51,18,1,543,1015,1709,2350,2911,3227,3343,3403,3454,3472,3473
1041,754,947,1041,853,471,219,130,89,36,2,1041,1795,2742,3783,4636,5107,5326,5456,5545,5581,5583
1304,940,1140,1214,1021,558,242,166,88,36,1,1304,2244,3384,4598,5619,6177,6419,6585,6673,6709,6710
1203,922,1223,1247,1066,527,205,179,97,39,1,1203,2125,3348,4595,5661,6188,6393,6572,6669,6708,6709
879,759,996,995,847,459,205,135,82,33,2,879,1638,2634,3629,4476,4935,5140,5275,5357,5390,5392
887,769,982,965,854,486,208,119,82,29,5,887,1656,2638,3603,4457,4943,5151,5270,5352,5381,5386
906,757,827,863,822,386,163,112,70,28,1,906,1663,2490,3353,4175,4561,4724,4836,4906,4934,4935
581,462,545,564,454,265,131,77,40,16,1,581,1043,1588,2152,2606,2871,3002,3079,3119,3135,3136
942,744,801,897,833,447,185,106,65,20,2,942,1686,2487,3384,4217,4664,4849,4955,5020,5040,5042
1075,830,1054,1122,970,521,213,133,96,35,0,1075,1905,2959,4081,5051,5572,5785,5918,6014,6049,6049
912,725,965,992,934,444,197,112,76,35,0,912,1637,2602,3594,4528,4972,5169,5281,5357,5392,5392
563,555,690,756,646,379,145,90,53,15,0,563,1118,1808,2564,3210,3589,3734,3824,3877,3892,3892
418,399,582,557,534,257,108,63,48,11,1,418,817,1399,1956,2490,2747,2855,2918,2966,2977,2978
512,414,565,616,516,272,122,77,48,14,0,512,926,1491,2107,2623,2895,3017,3094,3142,3156,3156
358,312,469,457,370,232,94,65,27,11,2,358,670,1139,1596,1966,2198,2292,2357,2384,2395,2397
512,470,609,632,531,298,108,87,72,30,0,512,982,1591,2223,2754,3052,3160,3247,3319,3349,3349
406,380,590,619,461,260,98,86,69,23,0,406,786,1376,1995,2456,2716,2814,2900,2969,2992,2992
267,316,526,441,360,201,105,52,31,12,1,267,583,1109,1550,1910,2111,2216,2268,2299,2311,2312
258,327,632,503,485,234,110,61,47,20,1,258,585,1217,1720,2205,2439,2549,2610,2657,2677,2678
472,485,826,738,578,371,134,107,57,33,1,472,957,1783,2521,3099,3470,3604,3711,3768,3801,3802
