10歳未満,10代,20代,30代,40代,50代,60代,70代,80代,90代,100歳以上,10歳未満,10代,20代,30代,40代,50代,60代,70代,80代,90代,100歳以上
14.3632,12.2056,22.0072,19.4304,15.4851,8.9385,3.3781,2.0466,1.4425,0.7027,0.0000,14.3632,26.5689,48.5760,68.0064,83.4916,92.4300,95.8082,97.8548,99.2973,100.0000,100.0000
16.2963,12.7160,20.8765,18.2963,15.4938,8.6914,3.5679,2.2840,1.1481,0.5802,0.0494,16.2963,29.0123,49.8889,68.1852,83.6790,92.3704,95.9383,98.2222,99.3704,99.9506,100.0000
16.8474,12.7601,19.6386,18.4424,15.7882,9.0093,3.5514,2.2181,1.1090,0.5732,0.0623,16.8474,29.6075,49.2461,67.6885,83.4766,92.4860,96.0374,98.2555,99.3645,99.9377,100.0000
17.0101,13.4809,19.3994,18.1499,16.1114,8.7900,3.2442,2.2797,1.0302,0.4384,0.0658,17.0101,30.4910,49.8904,68.0403,84.1517,92.9417,96.1859,98.4656,99.4958,99.9342,100.0000
17.5145,12.7457,18.9740,18.4249,16.0549,8.4971,3.3960,2.5000,1.4017,0.4480,0.0434,17.5145,30.2601,49.2341,67.6590,83.7139,92.2110,95.6069,98.1069,99.5087,99.9566,100.0000
17.2422,12.6621,19.0961,18.8295,15.2914,8.6272,3.5987,2.6657,1.4419,0.5089,0.0364,17.2422,29.9043,49.0004,67.8299,83.1213,91.7485,95.3471,98.0128,99.4547,99.9636,100.0000
16.0422,12.9625,19.7775,19.2623,15.5035,8.4426,3.4660,2.3536,1.5222,0.5855,0.0820,16.0422,29.0047,48.7822,68.0445,83.5480,91.9906,95.4567,97.8103,99.3326,99.9180,100.0000
14.9993,12.2063,20.1566,19.7133,16.4475,8.9109,3.4284,2.1132,1.3891,0.6059,0.0296,14.9993,27.2056,47.3622,67.0755,83.5230,92.4339,95.8623,97.9755,99.3646,99.9704,100.0000
16.1566,11.8305,20.5562,18.9229,16.1124,8.1960,3.4579,2.5603,1.4567,0.7357,0.0147,16.1566,27.9871,48.5433,67.4662,83.5786,91.7746,95.2325,97.7928,99.2496,99.9853,100.0000
16.6092,14.0230,17.9502,18.7931,16.2069,8.3716,3.8123,2.4330,1.3027,0.4598,0.0383,16.6092,30.6322,48.5824,67.3755,83.5824,91.9540,95.7663,98.1992,99.5019,99.9617,100.0000
15.6349,13.5906,19.9827,18.4567,16.1532,9.0988,3.3401,1.7276,1.4685,0.5183,0.0288,15.6349,29.2255,49.2082,67.6648,83.8180,92.9168,96.2568,97.9845,99.4529,99.9712,100.0000
18.6459,13.5053,16.9622,18.6459,15.2785,8.4363,3.9226,2.3285,1.5941,0.6448,0.0358,18.6459,32.1512,49.1134,67.7593,83.0378,91.4741,95.3967,97.7252,99.3194,99.9642,100.0000
19.4337,14.0089,16.9896,18.0924,15.2161,8.3159,3.6066,2.4739,1.3115,0.5365,0.0149,19.4337,33.4426,50.4322,68.5246,83.7407,92.0566,95.6632,98.1371,99.4486,99.9851,100.0000
17.9311,13.7427,18.2292,18.5870,15.8891,7.8551,3.0556,2.6681,1.4458,0.5813,0.0149,17.9311,31.6739,49.9031,68.4901,84.3792,92.2343,95.2899,97.9580,99.4038,99.9851,100.0000
16.3019,14.0764,18.4718,18.4533,15.7085,8.5126,3.8019,2.5037,1.5208,0.6120,0.0371,16.3019,30.3783,48.8501,67.3034,83.0119,91.5245,95.3264,97.8301,99.3509,99.9629,100.0000
16.4686,14.2778,18.2325,17.9168,15.8559,9.0234,3.8619,2.2094,1.5225,0.5384,0.0928,16.4686,30.7464,48.9788,66.8957,82.7516,91.7750,95.6368,97.8463,99.3687,99.9072,100.0000
18.3587,15.3394,16.7579,17.4873,16.6565,7.8217,3.3029,2.2695,1.4184,0.5674,0.0203,18.3587,33.6981,50.4559,67.9433,84.5998,92.4215,95.7244,97.9939,99.4124,99.9797,100.0000
18.5268,14.7321,17.3788,17.9847,14.4770,8.4503,4.1773,2.4554,1.2755,0.5102,0.0319,18.5268,33.2589,50.6378,68.6224,83.0995,91.5497,95.7270,98.1824,99.4579,99.9681,100.0000
18.6831,14.7560,15.8866,17.7906,16.5212,8.8655,3.6692,2.1023,1.2892,0.3967,0.0397,18.6831,33.4391,49.3257,67.1162,83.6374,92.5030,96.1722,98.2745,99.5637,99.9603,100.0000
17.7715,13.7213,17.4244,18.5485,16.0357,8.6130,3.5212,2.1987,1.5870,0.5786,0.0000,17.7715,31.4928,48.9172,67.4657,83.5014,92.1144,95.6356,97.8344,99.4214,100.0000,100.0000
16.9139,13.4458,17.8969,18.3976,17.3220,8.2344,3.6536,2.0772,1.4095,0.6491,0.0000,16.9139,30.3598,48.2567,66.6543,83.9763,92.2107,95.8642,97.9414,99.3509,100.0000,100.0000
14.4656,14.2600,17.7287,19.4245,16.5982,9.7379,3.7256,2.3124,1.3618,0.3854,0.0000,14.4656,28.7256,46.4543,65.8787,82.4769,92.2148,95.9404,98.2528,99.6146,100.0000,100.0000
14.0363,13.3983,19.5433,18.7038,17.9315,8.6300,3.6266,2.1155,1.6118,0.3694,0.0336,14.0363,27.4345,46.9778,65.6817,83.6132,92.2431,95.8697,97.9852,99.5970,99.9664,100.0000
16.2231,13.1179,17.9024,19.5184,16.3498,8.6185,3.8657,2.4398,1.5209,0.4436,0.0000,16.2231,29.3409,47.2433,66.7617,83.1115,91.7300,95.5957,98.0355,99.5564,100.0000,100.0000
14.9353,13.0163,19.5661,19.0655,15.4360,9.6788,3.9216,2.7117,1.1264,0.4589,0.0834,14.9353,27.9516,47.5177,66.5832,82.0192,91.6980,95.6195,98.3312,99.4577,99.9166,100.0000
15.2881,14.0340,18.1845,18.8713,15.8555,8.8982,3.2248,2.5978,2.1499,0.8958,0.0000,15.2881,29.3222,47.5067,66.3780,82.2335,91.1317,94.3565,96.9543,99.1042,100.0000,100.0000
